episode,reward
393,-292.2951380794394
394,-308.5358041541177
395,-312.16776025644424
396,-292.0742717286331
397,-273.89601153694093
398,-290.53347028023484
399,-287.39118775888267
400,-276.87255767709496
401,-297.6242418413741
402,-306.43004500714596
403,-292.5796282810617
404,-298.35188092885073
405,-291.34826322621586
406,-302.6864769378436
407,-285.97103077336135
408,-278.1903863379258
409,-293.70642845122995
410,-294.31373379169884
411,-293.9024398718029
412,-295.9831417774541
413,-287.4954798606915
414,-289.343903684755
415,-285.35479038371625
416,-282.4522998032618
417,-289.78324489830914
418,-291.19162931269886
419,-298.8402900339562
420,-305.3186965851338
421,-281.42248375189956
422,-307.21046431711795
423,-306.98831348097804
424,-282.83803377090874
425,-289.8361722694236
426,-288.95886892429473
427,-273.8844152891535
428,-289.3550093898076
429,-295.59251317358496
430,-284.6034792640704
431,-294.7059691970927
432,-295.9569820848984
433,-274.0887581424314
434,-287.49137856659945
435,-274.39388072281065
436,-277.4245371685821
437,-297.4356266570968
438,-301.46193257323387
439,-286.9679658689994
440,-297.6772304624319
441,-296.63667297922075
442,-304.9123432242769
443,-273.4422447027165
444,-282.64645301154735
445,-296.00086430064323
446,-293.2221902029115
447,-281.226296759559
448,-290.0964709020918
449,-287.400833482272
450,-283.8076364932341
451,-278.3318723307449
452,-280.32646818994465
453,-287.82731423841244
454,-269.5936305159703
455,-293.1735270114142
456,-285.7637066820163
457,-275.29815836786213
458,-293.0467786525834
459,-289.17144584818664
460,-280.10612195858187
461,-281.3241783787954
462,-279.3610354566473
463,-286.49161603464665
464,-272.39240301935854
465,-269.39820457377857
466,-284.4529447987443
467,-266.1450843196362
468,-285.49334271787586
469,-282.7767993379384
470,-276.5102987342972
471,-275.31884120753887
472,-301.0910510811955
473,-272.7460943845791
474,-288.37826846388634
475,-264.24339431896806
476,-283.21944209723654
477,-271.077912198146
478,-277.77607054053726
479,-277.657980313291
480,-285.5329686909681
481,-302.71954147680583
482,-274.60289726941767
483,-273.41758145182314
484,-278.33368098153653
485,-281.6486691851169
486,-290.44351814477625
487,-278.5393608970327
488,-275.8678303681081
489,-283.76031917182183
490,-272.6181999644024
491,-262.5576251161975
492,-280.3648793937165
493,-293.57380726910117
494,-255.46581978141253
495,-274.5479416565496
496,-279.5315290892023
497,-277.57332019356545
498,-267.51149990945044
499,-274.31446648552003
500,-283.6497734019059
501,-277.2413960208643
502,-282.01831284351647
503,-277.346213279292
504,-268.22520224540415
505,-261.8759132975239
506,-275.03271323791625
507,-278.355897912522
508,-268.0311689393121
509,-277.1663708628613
510,-265.2181727231938
511,-250.1023710833389
512,-284.8969289266962
513,-288.7249651791054
514,-284.8384274089468
515,-277.5189838705111
516,-265.35395863628867
517,-275.9751563721794
518,-275.9559992288697
519,-300.2255049366504
520,-266.90741201653066
521,-276.39177579188174
522,-267.60785890591796
523,-281.4207208690924
524,-261.1704667971927
525,-266.59668277553203
526,-282.5607316882807
527,-276.1964343597639
528,-272.15499804145577
529,-261.9387520340962
530,-274.5371251271564
531,-260.0387608691817
532,-263.00587670505047
533,-283.18257046991414
534,-273.04158459359235
535,-268.2746361941099
536,-289.09716007113457
537,-267.1881516514105
538,-263.1675604041666
539,-267.75934597453954
540,-276.8657750429112
541,-268.77121004997673
542,-274.85040914988997
543,-263.8802132734555
544,-280.36049972474575
545,-277.74005198827865
546,-271.329899493022
547,-269.77602734975517
548,-287.5054157413542
549,-261.9326526740325
550,-267.2781886847216
551,-263.924650434171
552,-278.82316754199564
553,-293.92726206593215
554,-275.6557345626635
555,-276.91138406447055
556,-269.39735814742744
557,-261.36727053427524
558,-278.0525154005736
559,-271.61910042352974
560,-276.8118980654973
561,-271.6965321805328
562,-279.98539605527105
563,-273.8201089234782
564,-274.27521244599404
565,-263.9902765810257
566,-261.1189405936748
567,-270.7555805593729
568,-267.00733596645296
569,-267.37904513976457
570,-286.027298683067
571,-277.32516776188197
572,-276.31932099698963
573,-282.0829398483038
574,-265.9382554271716
575,-271.19455260725147
576,-280.0018294438487
577,-273.77108543156567
578,-264.942957945168
579,-287.1021313329685
580,-273.12229732982814
581,-276.56533219607
582,-256.7799913675982
583,-262.38205238617957
584,-264.9808244612068
585,-274.59186200553006
586,-271.2735003975678
587,-269.45255401951727
